WorkerId,Name,Experiment,Sub Num,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,Gender
64f9b20dd2c8fb647d0adfbd,pilot1-1,ST_DevL2p,2101,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=71b048e36622d727c60dff3381ffb400e8c39e9b047fff1218273f46586d66fd3747b13a17e32647a2e252c61aa0c51e4b959881a83decb3ec0ead5ee8ffde91,1,18,474,1,58,,0
64f9b20dd2c8fb647d0adfbe,pilot1-2,ST_DevL2p,2102,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=f755a25b50b3ec4189bc852293d9ea9029b3766d8ae71453435f7408283e9f3d28ef14f3a51f058a31e42e2d894e97a488b8887f48a99bf8ecf1427781c07e96,1,18,388,1,58,,1
64f9b20dd2c8fb647d0adfbf,pilot1-3,ST_DevL2p,2103,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=094b31e0c93d2d267a2dbc90e8cda0c0421b15234b8ec250f1b54a057dc205ccb044aa866ed15f2ce3d5024ac415f5d756d92afc5b31beee62f80cd1970959a4,1,18,456,1,58,,1
64f9b20dd2c8fb647d0adfc0,pilot1-4,ST_DevL2p,2104,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=bcf0aa1f101b91c609cdc68e8e67c08c100d4d9465c452c4af523f68c5fa02d4aa09f94a95210db01aa6010ced7563149340372be8fb2f4e8e85486bfc1d7b9c,1,18,479,1,58,,0
64f9b20dd2c8fb647d0adfc1,pilot1-5,ST_DevL2p,2105,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=29de7c472f3bf373516294db00fa8940bc9fe98b546309fdc82c0679ffbc1a18208667499322c5235181b3facc787e6d33b47b22875c74546dc1977577ac6bf1,1,18,448,1,58,,0
64f9b20dd2c8fb647d0adfc2,pilot1-6,ST_DevL2p,2106,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=6355fb77cccf5dcc32c1fd5de4f7bcf3199aac13429cd6491a0a52a2949053059bc504ae82f1caf46bb7613504a72669e47fffd9db26cac745b58c0a6823275d,1,18,467,1,58,,1
64f9b20dd2c8fb647d0adfc3,pilot1-7,ST_DevL2p,2107,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=445ff72906dc700309d0207db27785e23736655dd449202e2bd102b363dede3e70e520fb08274276d00929408d538082aadc62e7cd4bf83b145406932b4abb18,1,18,452,1,58,,0
64f9b20dd2c8fb647d0adfc4,pilot1-8,ST_DevL2p,2108,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=18e036ae1d6a97efac1d77d32001923c9bc54796d2cc6ab8a2767b8fe996ff8a3327e59f03d6efc45bc65b5e244f416fada63269e2cd1e8bdf7b6dcbcf5d04b4,1,18,474,,18,,
64f9b20dd2c8fb647d0adfc5,pilot1-9,ST_DevL2p,2109,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=4be39bbee2d8c14e8f72cff9177584d65ee05f18a486e37d76bf67e8a82caa8fd20ecc394f712712b89d724093a3d4e04708f85dd871492f3de7391076c80b50,,18,,,didn't finish,didn't strat the experiment,
64f9b20dd2c8fb647d0adfc6,pilot1-10,ST_DevL2p,2110,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=06ded6dd180d25f542ca6595bae1517bf11c415dc4f1d0298f49e08a154a3c50e5207bfa842ef0204d456b974beeaf0ae357373137b061b54ab6ea5b64928030,1,18,393,1,58,,0
