WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,,Gender
65f2b24fd2c8fb647d0af0dc,pilot41-1,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=33db280c3db5314e90de9e59604d56031b800ea83d6138f2bfa9dd8335942916353d7a25d154404b4b64750b71e4032807328ddbd83596e4a870a3b79e536357,1,18,513,1,58,,4101,0
65f2b24fd2c8fb647d0af0dd,pilot41-2,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=fe53f028b1851b6f70c7ecc98ce7c6781228ab69a751c4795a4a14adadd25fb07d5b804364cb39a67d3956b4e3fe92c75515b20ea36d53743c630a6e15c94039,1,18,502,1,58,,4102,1
65f2b24fd2c8fb647d0af0de,pilot41-3,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=4d75fa3bde9b3bd29e19d5c36fefd799f714d2879eea318cce92fda7f98676e63601c6ddd54c8849b3f222f94d390cb5fe13b2c9137cf0546a632ac0259f4da4,1,18,580,1,58,,4103,1
65f2b24fd2c8fb647d0af0df,pilot41-4,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=d6434ac6491424836c6c9e063166dfbb3488a339bc7f2358c88aa554d58b2baa044c1ef9491fcd278ed47100eae667ff4e70acfd5e1804c3aae3c277d89b9f1b,1,18,599,1,58,,4104,1
65f2b24fd2c8fb647d0af0e0,pilot41-5,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=1971e6b14f6f26c058fc5939ad1f4307edd57c8ec919b8135c77a6c7b153b57ebb5464b0c592bedf732a03ad79e7d1ae4041f029aec398f7e6c430a392d54dca,1,18,531,1,58,,4105,0
65f2b24fd2c8fb647d0af0e1,pilot41-6,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=1290dc5200053ab7da9d599011e53bda3d443b31bf077438e06f2e623be75599b98eef0e6a24912473c0d1cce2e1a46986b0f23daab608e68e51b1f6db715817,1,18,1074,0,28,,4106,1
65f2b24fd2c8fb647d0af0e2,pilot41-7,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=639d8d9994d45fa785d5526201ab7cbbc4d99f024855bc69fd84f1ffc8ab2cc788249e097a7caa6a83c08c94a8c144b6cc3a3dec0985dc7857b4da6ed34f8902,,18,,0,didn't finish,stopped playing,,
65f2b24fd2c8fb647d0af0e3,pilot41-8,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=33ce981854f652b580da243695998816d9fb21d5eb72753eeb482036b375a75384fd8dca1e29aff688a239fe677c039b322b87fc536e20d2e17a9eca2abd3565,1,18,568,1,58,,4108,1
65f2b24fd2c8fb647d0af0e4,pilot41-9,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=be27ff4d3ab22c8aafd5644280a4fbd5028091f78b98f52822fff0df73f2cce6b92b42a6a2aca5cbb2143b5da6e4cc5df4c4e903c2f5f6ba9337f546736c5c62,1,18,577,1,58,,4109,1
65f2b24fd2c8fb647d0af0e5,pilot41-10,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=03cab5975b44b4d28bf621763c2f6e89ce864088cd35b6eb4b775066f471442717c940878bac56bd5ba2972c77cc18e3a70f7f41a2d6450a0cabdf8fa6beb47e,1,18,570,1,58,,4110,1
65f2b24fd2c8fb647d0af0e6,pilot41-11,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=dfbd43b722a8ff821d93848f5d7b5196a643dbe0eb5f8fbda523bc7d8eea9042575c079c48b0faacaf5b69c3bd78c7a6ab80eb58edb2f666da46381b74ad3103,1,18,569,1,58,,4111,1
65f2b24fd2c8fb647d0af0e7,pilot41-12,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=06a6b4cb4d27899431d89be93b839c4f6f65df2693f50ab02b46a3b23d192b7f0ce7275ce459d794cf3f7d4473a0d8c6284b3e368fd8bb12c1019d29ead55f1c,1,18,589,1,58,,4112,1
65f2b26ed2c8fb647d0af0e9,pilot42-1,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=1330bdb2aa069a2b7e621973d7b5265e9f1497275a8542c63ff14e44044525172a9c07e96d93ef8c43029b3b362f5f4f41520753570c25ac3105801ffca3a45c,1,18,549,1,58,,4201,1
65f2b26ed2c8fb647d0af0ea,pilot42-2,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=f6cf4f6e8a8ab568d2512edb93e5c7f97f4be3db472b12bb89e155193c92a7130add12edb1876eaf12e9d65a76b3628c304ebc18420e0f663a4534dd36a5f3de,1,18,561,1,58,,4202,0
