WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),QuestionnairesDone?,Total payment,payment info,Done first test,Done second test,,Gender
6645c9cfd2c8fb647d0af388,pilot54-1,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=6b02413f8bd8eb1ea997759dfd0ee55c84d805795af9badd32b32d289b943dccc28f6732be9f142aa458c39fb37a30563090e855648a78c1339edd21f6dbba3b,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af389,pilot54-2,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=6801cb269591285cec9604f0985867c6956a54e4a2ef67b68916c0b476cd18cded1edc7856f36f34a173d2cd63d76918209244ed3b76f82e1ccbeb269606f39b,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,identified wrong dev button,0
6645c9cfd2c8fb647d0af38a,pilot54-3,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b7e715588378bee55c4df5e80181e26a158e4cd1cbc047fa542d9056b63d6de03e77af19b4d3750510207e74d85fc3f3f6181017ff011ec1658ea4bc1a24b62d,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af38b,pilot54-4,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=25d57a366a00dd2bfd74e05e54bed50b09769dd5e5c850549061e574cbbb6d2bdce32f99726649021947c19f90903fd81ca7e7d878672176477e6edbf922ad8a,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af38c,pilot54-5,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=443106a9bf874676236850cb847e6e467defb4dea32ed65b7a169c5a083c98f708b85cd0922e662f3dcace8e0bf44d73028059debaad82b766c2b5f50c754d83,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af38d,pilot54-6,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=873f00d83c6a51b3f8b015f708bf315bbf4af04c8936b51004c97d43b90f90670473bac9a08d74dc287a35528d4ba1b5439627e4ada971524783f8ca2707367f,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af38e,pilot54-7,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b56aa61549bb9b627e980d2ded208d3a2b4607d50400bc4dc4f7787bc6811e2394180af75dce648f580ed6bae4d9c188fca71a345429437f2cd1a68109bec98a,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",,,stopped playing,
6645c9cfd2c8fb647d0af38f,pilot54-8,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=d11de9b3e724d170914a4932cbbaf7d4ce03bdb0bfcb0717e6b5a1be8f287383c65ae7048430b6f0067988ffa489bc9831cc4960a125bc059af35d8f22f16f79,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af390,pilot54-9,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=5b3c9734ad3fcd57903a6d3bfbae496fc108a80ce43b59eb461c042d3b51d3bd019a192528c3543d9165ecdfe8227db24860b4520de864c549f90fd67f1b7a7b,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af391,pilot54-10,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=fb94b5ed8a3f29ebd65ff6b23f61424999551924bd25da7222caf9c067b7baaf817ab2cac2527d2b0f5fe467788e46a9ce6401574ecacc1f86401ad706367b3a,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",,,didn't start,
